1,manga,Au contact de l'eau froide Ranma (Ranma 1/2) se tranforme en ?,Jeune fille,Jeune fille,Panda,Vieillard,Loup,
2,manga,C'est l'histoire de 2 jeunes frères partant à la recherche de la pierre philosophale.,Fullmetal Alchemist,Fullmetal Alchemist,Welcome to the Chemistry Lab,Bakuman,Fairy Tail,
3,manga,Dans lequel de ces mangas le bushido occupe une place centrale ?,Vagabond,Vagabond,Bleach,Death Note,Dragon Ball,
4,manga,Dans le manga One Punch Man quel est le nom du heros "le chauve à la cape" ?,Saitama,Genos,Bang,Saitama,Tatsumaki,
5,manga,Comment s'apelle l'arme emblematique de Guts dans le manga Berserk ?,La Dragonslayer,La Dragonslayer,Durandal,La Masamune,Tensa Zangetsu,
6,got,De quelle Cité Libre est originaire Varys ?,Myr,Braavos,Myr,Lys,Qohor,
7,got,Que signifie Valar Morghulis ?,Chaque Homme doit mourir,Chaque Homme doit mourir,Chaque Homme doit punir,Chaque Homme doit pourrir,Chaque Homme doit nourrir,
8,got,Qui est inquiet suite au mariage de Daenerys Targaryen avec un puissant seigneur Dothraki et pense envoyer un assassin pour s'occuper d'elle ?,Robert Baratheon,Eddard Stark,Robert Baratheon,Jaime Lannister,Jeor Mormont,
9,got,Où se situe le siège du commandement de la Garde de Nuit ?,Châteaunoir,Châteaunoir,Tour Ombreuse,Fort Nox,Fort-Levant,
10,got,Qui est le lord Commandant de la Garde de Nuit lorque Jon Snow la rejoint ?,Jeor Mormont,Benjen Stark,Aemon Targaryen,Bowen Marsh,Jeor Mormont,
